"","Year","Site","Plot","Quadrant","Species","Cover"
"230",2023,"Silwood Park","333",2,"Galium aparine",10
"231",2023,"Silwood Park","333",3,"Holcus lanatus",100
"232",2023,"Silwood Park","333",3,"Rubus fruticosus",20
"233",2023,"Silwood Park","333",4,"Holcus lanatus",100
"234",2023,"Silwood Park","333",4,"Rubus fruticosus",12
"235",2023,"Silwood Park","333",4,"Galium aparine",10
"236",2023,"Silwood Park","333",4,"Quercus robur",20
"237",2023,"Silwood Park","331",1,"Rubus fruticosus",40
"238",2023,"Silwood Park","331",1,"Holcus lanatus",20
"239",2023,"Silwood Park","331",1,"Rumex acetosa",3
"240",2023,"Silwood Park","331",1,"Agrostis stolonifera",70
"241",2023,"Silwood Park","331",1,"Taraxacum officinale",2
"242",2023,"Silwood Park","331",1,"Galium aparine",10
"243",2023,"Silwood Park","331",1,"Ranunculus repens",1
"244",2023,"Silwood Park","331",1,"Anthoxanthum odoratum",2
"245",2023,"Silwood Park","331",2,"Rubus fruticosus",70
"246",2023,"Silwood Park","331",2,"Holcus lanatus",15
"247",2023,"Silwood Park","331",2,"Galium aparine",30
"248",2023,"Silwood Park","331",2,"Festuca gigantea",15
"249",2023,"Silwood Park","331",3,"Holcus lanatus",10
"250",2023,"Silwood Park","331",3,"Rumex acetosa",5
"251",2023,"Silwood Park","331",3,"Agrostis stolonifera",90
"252",2023,"Silwood Park","331",3,"Taraxacum officinale",1
"253",2023,"Silwood Park","331",3,"Poa annua",25
"254",2023,"Silwood Park","331",3,"Glechoma hederacea",2
"255",2023,"Silwood Park","331",4,"Rubus fruticosus",100
"256",2023,"Silwood Park","331",4,"Holcus lanatus",20
"257",2023,"Silwood Park","331",4,"Agrostis stolonifera",15
"258",2023,"Silwood Park","331",4,"Galium aparine",10
"259",2023,"Silwood Park","331",4,"Festuca gigantea",5
"260",2023,"Silwood Park","331",4,"Myosotis discolor",0.5
"261",2023,"Silwood Park","331",4,"Poa annua",5
"262",2023,"Silwood Park","331",4,"Anthoxanthum odoratum",5
"263",2023,"Silwood Park","122",1,"Urtica dioica",60
"264",2023,"Silwood Park","122",1,"Festuca pratensis",60
"265",2023,"Silwood Park","122",1,"Holcus lanatus",15
"266",2023,"Silwood Park","122",1,"Galium aparine",20
"267",2023,"Silwood Park","122",2,"Urtica dioica",100
"268",2023,"Silwood Park","122",2,"Galium aparine",10
"269",2023,"Silwood Park","122",3,"Urtica dioica",30
"270",2023,"Silwood Park","122",3,"Festuca pratensis",60
"271",2023,"Silwood Park","122",3,"Galium aparine",5
"272",2023,"Silwood Park","122",4,"Urtica dioica",100
"273",2023,"Silwood Park","122",4,"Festuca pratensis",60
"274",2023,"Silwood Park","122",4,"Galium aparine",10
"275",2023,"Silwood Park","132",1,"Carex remota",100
"276",2023,"Silwood Park","132",2,"Carex remota",100
"277",2023,"Silwood Park","132",3,"Carex remota",100
"278",2023,"Silwood Park","132",4,"Carex remota",100
"279",2023,"Silwood Park","123",1,"Carex remota",60
"280",2023,"Silwood Park","123",1,"Impatiens capensis",3
"281",2023,"Silwood Park","123",1,"Crataegus marshallii",10
"282",2023,"Silwood Park","123",1,"Circaea lutetiana",8
"283",2023,"Silwood Park","123",1,"Festuca pratensis",20
"284",2023,"Silwood Park","123",1,"Stellaria alsine",2
"285",2023,"Silwood Park","123",2,"Urtica dioica",30
"286",2023,"Silwood Park","123",2,"Crataegus marshallii",10
"287",2023,"Silwood Park","123",2,"Circaea lutetiana",12
"288",2023,"Silwood Park","123",2,"Festuca pratensis",15
"289",2023,"Silwood Park","123",2,"Stellaria alsine",1
"290",2023,"Silwood Park","123",3,"Athyrium filix-femina",5
"291",2023,"Silwood Park","123",3,"Festuca pratensis",10
"292",2023,"Silwood Park","123",4,"Urtica dioica",17
"293",2023,"Silwood Park","123",4,"Impatiens capensis",6
"294",2023,"Silwood Park","123",4,"Crataegus marshallii",6
"295",2023,"Silwood Park","123",4,"Festuca pratensis",5
"296",2023,"Silwood Park","0",1,"Poa annua",15
"297",2023,"Silwood Park","0",1,"Carex remota",20
"298",2023,"Silwood Park","0",2,"Poa annua",40
"299",2023,"Silwood Park","0",3,"Poa annua",5
"300",2023,"Silwood Park","0",3,"Carex remota",30
"301",2023,"Silwood Park","0",4,"Poa annua",50
"302",2023,"Silwood Park","F",1,"Poa annua",80
"303",2023,"Silwood Park","F",2,"Poa annua",85
"304",2023,"Silwood Park","F",3,"Poa annua",70
"305",2023,"Silwood Park","F",4,"Poa annua",25
"306",2023,"Silwood Park","133",1,"Glechoma hederacea",40
"307",2023,"Silwood Park","133",1,"Carex remota",15
"308",2023,"Silwood Park","133",1,"Galium aparine",25
"309",2023,"Silwood Park","133",1,"Poa trivialis",1
"310",2023,"Silwood Park","133",2,"Glechoma hederacea",90
"311",2023,"Silwood Park","133",3,"Glechoma hederacea",60
"312",2023,"Silwood Park","133",3,"Carex remota",35
"313",2023,"Silwood Park","133",3,"Galium aparine",10
"314",2023,"Silwood Park","133",4,"Glechoma hederacea",90
"315",2023,"Silwood Park","133",4,"Galium aparine",10
"316",2023,"Silwood Park","121",1,"Hyacinthoides non-scripta",5
"317",2023,"Silwood Park","121",2,"Hyacinthoides non-scripta",1
"318",2023,"Silwood Park","121",2,"Galium aparine",8
"319",2023,"Silwood Park","121",3,"Galium aparine",3
"320",2023,"Silwood Park","121",4,"Galium aparine",3
"321",2023,"Silwood Park","112",1,"Poa annua",45
"322",2023,"Silwood Park","112",1,"Rumex acetosa",5
"323",2023,"Silwood Park","112",1,"Carex spicata",15
"324",2023,"Silwood Park","112",1,"Deschampsia flexuosa",15
"325",2023,"Silwood Park","112",2,"Poa annua",30
"326",2023,"Silwood Park","112",2,"Rumex acetosa",5
"327",2023,"Silwood Park","112",2,"Carex spicata",10
"328",2023,"Silwood Park","112",2,"Lolium perenne",25
"329",2023,"Silwood Park","112",3,"Poa annua",90
"330",2023,"Silwood Park","112",3,"Rumex acetosa",5
"331",2023,"Silwood Park","112",3,"Carex spicata",20
"332",2023,"Silwood Park","112",4,"Poa annua",15
"333",2023,"Silwood Park","112",4,"Rumex acetosa",5
"334",2023,"Silwood Park","112",4,"Carex spicata",12
"335",2023,"Silwood Park","113",1,"Poa annua",12
"336",2023,"Silwood Park","113",1,"Rubus fruticosus",2
"337",2023,"Silwood Park","113",2,"Poa annua",25
"338",2023,"Silwood Park","113",3,"Poa annua",70
"339",2023,"Silwood Park","113",3,"Rubus fruticosus",3
"340",2023,"Silwood Park","113",4,"Poa annua",80
"341",2023,"Silwood Park","111",1,"Arrhenatherum elatius",30
"342",2023,"Silwood Park","111",1,"Poa annua",25
"343",2023,"Silwood Park","111",1,"Holcus lanatus",8
"344",2023,"Silwood Park","111",1,"Agrostis stolonifera",5
"345",2023,"Silwood Park","111",2,"Arrhenatherum elatius",40
"346",2023,"Silwood Park","111",2,"Poa annua",10
"347",2023,"Silwood Park","111",2,"Holcus lanatus",25
"348",2023,"Silwood Park","111",2,"Agrostis stolonifera",5
"349",2023,"Silwood Park","111",3,"Schedonorus giganteus",8
"350",2023,"Silwood Park","111",3,"Arrhenatherum elatius",20
"351",2023,"Silwood Park","111",3,"Poa annua",15
"352",2023,"Silwood Park","111",3,"Holcus lanatus",10
"353",2023,"Silwood Park","111",3,"Agrostis stolonifera",12
"354",2023,"Silwood Park","111",4,"Arrhenatherum elatius",30
"355",2023,"Silwood Park","111",4,"Poa annua",5
"356",2023,"Silwood Park","111",4,"Holcus lanatus",25
"357",2023,"Silwood Park","111",4,"Achillea millefolium",0.5
"358",2023,"Silwood Park","E",1,"Holcus lanatus",15
"359",2023,"Silwood Park","E",1,"Taraxacum officinale",3
"360",2023,"Silwood Park","E",1,"Rumex acetosella",40
"361",2023,"Silwood Park","E",1,"Vicia sativa",2
"362",2023,"Silwood Park","E",1,"Senecio jacobaea",5
"363",2023,"Silwood Park","E",1,"Hieracium pilosella",1
"364",2023,"Silwood Park","E",1,"Poa pratensis",2
"365",2023,"Silwood Park","E",2,"Holcus lanatus",30
"366",2023,"Silwood Park","E",2,"Rumex acetosella",35
"367",2023,"Silwood Park","E",2,"Agrostis capillaris",2
"368",2023,"Silwood Park","E",2,"Senecio jacobaea",2
"369",2023,"Silwood Park","E",2,"Hieracium pilosella",3
"370",2023,"Silwood Park","E",2,"Lotus corniculatus",0.5
"371",2023,"Silwood Park","E",2,"Taraxacum officinale",2
"372",2023,"Silwood Park","E",2,"Stellaria graminea",0.5
"373",2023,"Silwood Park","E",3,"Rumex acetosella",35
"374",2023,"Silwood Park","E",3,"Agrostis capillaris",25
"375",2023,"Silwood Park","E",3,"Holcus lanatus",10
"376",2023,"Silwood Park","E",3,"Stellaria graminea",1
"377",2023,"Silwood Park","E",3,"Hieracium pilosella",8
"378",2023,"Silwood Park","E",4,"Hieracium pilosella",15
"379",2023,"Silwood Park","E",4,"Rumex acetosella",18
"380",2023,"Silwood Park","E",4,"Holcus lanatus",3
"381",2023,"Silwood Park","E",4,"Agrostis capillaris",4
