Date,Plot_id,Quadrant,Species,Cover,Notes
22/05/2020,2111,1,Collinsia parviflora,0.5,
22/05/2020,2111,1,Lithophragma parviflorum,0,
22/05/2020,2111,1,Mertensia oblongifolia,0,
22/05/2020,2111,1,Acer grandidentatum,0,overhang-10_SYN of Acer saccharum
22/05/2020,2111,1,Prunus virginiana,0,overhang-30
22/05/2020,2111,1,Symphoricarpos oreophilus,0,
22/05/2020,2111,1,organic matter,59,mostly A. grandidentatum leaves
22/05/2020,2111,1,rock,5,
22/05/2020,2111,1,soil,19,
22/05/2020,2111,1,Tragopogon dubius,1,
22/05/2020,2111,1,Arenaria serpyllifolia,2,
22/05/2020,2111,2,Poa bulbosa,2,
22/05/2020,2111,2,Senecio integerrimus,0,
22/05/2020,2111,2,Viola purpurea,13,
22/05/2020,2111,2,Galium aparine,12,
22/05/2020,2111,2,Bromus tectorum,3,overhang-2
22/05/2020,2111,2,Crepis acuminata,0,
22/05/2020,2111,2,Bromus briziformis,3,
22/05/2020,2111,2,Collinsia parviflora,0,
22/05/2020,2111,2,Lithophragma parviflorum,2,
22/05/2020,2111,2,Mertensia oblongifolia,17,
22/05/2020,2111,2,Acer grandidentatum,0,overhang-20
22/05/2020,2111,2,Prunus virginiana,0,overhang-100
22/05/2020,2111,2,Symphoricarpos oreophilus,0,
22/05/2020,2111,2,organic matter,49,mostly A. grandidentatum leaves
22/05/2020,2111,2,rock,4,
22/05/2020,2111,2,soil,7,
22/05/2020,2111,2,Tragopogon dubius,0.5,
22/05/2020,2111,2,Arenaria serpyllifolia,1,
22/05/2020,2111,3,Poa bulbosa,21,
22/05/2020,2111,3,Senecio integerrimus,15,
22/05/2020,2111,3,Viola purpurea,10,
22/05/2020,2111,3,Galium aparine,0.5,
22/05/2020,2111,3,Bromus tectorum,0,
22/05/2020,2111,3,Crepis acuminata,11,
22/05/2020,2111,3,Bromus briziformis,5,
22/05/2020,2111,3,Collinsia parviflora,0,
22/05/2020,2111,3,Lithophragma parviflorum,4,
22/05/2020,2111,3,Mertensia oblongifolia,0,
22/05/2020,2111,3,Acer grandidentatum,0,
22/05/2020,2111,3,Prunus virginiana,0,overhang-5
22/05/2020,2111,3,Symphoricarpos oreophilus,0,
22/05/2020,2111,3,organic matter,41,mostly A. grandidentatum leaves
22/05/2020,2111,3,rock,0,
22/05/2020,2111,3,soil,1,
22/05/2020,2111,3,Tragopogon dubius,2,
22/05/2020,2111,3,Arenaria serpyllifolia,4,
22/05/2020,2111,4,Poa bulbosa,37,
22/05/2020,2111,4,Senecio integerrimus,11,
22/05/2020,2111,4,Viola purpurea,2,
22/05/2020,2111,4,Galium aparine,1,
22/05/2020,2111,4,Bromus tectorum,0,
22/05/2020,2111,4,Crepis acuminata,9,
22/05/2020,2111,4,Bromus briziformis,0,
22/05/2020,2111,4,Collinsia parviflora,0,
22/05/2020,2111,4,Lithophragma parviflorum,0,
22/05/2020,2111,4,Mertensia oblongifolia,2,
22/05/2020,2111,4,Acer grandidentatum,0,
22/05/2020,2111,4,Prunus virginiana,0,overhang-20
22/05/2020,2111,4,Symphoricarpos oreophilus,0,
22/05/2020,2111,4,organic matter,60,mostly A. grandidentatum leaves
22/05/2020,2111,4,rock,0,
22/05/2020,2111,4,soil,0,
22/05/2020,2111,4,Tragopogon dubius,0,
22/05/2020,2111,4,Arenaria serpyllifolia,3,
22/05/2020,2122,1,Poa bulbosa,44,
22/05/2020,2122,1,Tragopogon dubius,33,
22/05/2020,2122,1,Astragalus cibarius,0,
22/05/2020,2122,1,Erodium cicutarium,0,
22/05/2020,2122,1,Crepis acuminata,7,
22/05/2020,2122,1,Agoseris parviflora,2,
22/05/2020,2122,1,Pseudoroegneria spicata,4,
22/05/2020,2122,1,rock,5,
22/05/2020,2122,1,soil,7,
22/05/2020,2122,1,organic matter,4,
22/05/2020,2122,1,Alyssum desertorum,0,
22/05/2020,2122,2,Poa bulbosa,39,
22/05/2020,2122,2,Tragopogon dubius,20,
22/05/2020,2122,2,Astragalus cibarius,4,
22/05/2020,2122,2,Erodium cicutarium,0,
22/05/2020,2122,2,Crepis acuminata,0,
22/05/2020,2122,2,Agoseris parviflora,2,
22/05/2020,2122,2,Pseudoroegneria spicata,0,
22/05/2020,2122,2,rock,9,
22/05/2020,2122,2,soil,5,
22/05/2020,2122,2,organic matter,20,
22/05/2020,2122,2,Alyssum desertorum,0,
22/05/2020,2122,3,Poa bulbosa,29,
22/05/2020,2122,3,Tragopogon dubius,18,
22/05/2020,2122,3,Astragalus cibarius,0,
22/05/2020,2122,3,Erodium cicutarium,1,
22/05/2020,2122,3,Crepis acuminata,0,
22/05/2020,2122,3,Agoseris parviflora,2,
22/05/2020,2122,3,Pseudoroegneria spicata,21,
22/05/2020,2122,3,rock,3,
22/05/2020,2122,3,soil,4,
22/05/2020,2122,3,organic matter,25,
22/05/2020,2122,3,Alyssum desertorum,0,
22/05/2020,2122,4,Poa bulbosa,37,
22/05/2020,2122,4,Tragopogon dubius,15,
22/05/2020,2122,4,Astragalus cibarius,0,
22/05/2020,2122,4,Erodium cicutarium,0,
22/05/2020,2122,4,Crepis acuminata,0,
22/05/2020,2122,4,Agoseris parviflora,0,
22/05/2020,2122,4,Pseudoroegneria spicata,17,
22/05/2020,2122,4,rock,4,
22/05/2020,2122,4,soil,15,
22/05/2020,2122,4,organic matter,15,
22/05/2020,2122,4,Alyssum desertorum,0.5,
22/05/2020,2133,1,Alyssum desertorum,12,
22/05/2020,2133,1,Bromus tectorum,5,
22/05/2020,2133,1,Poa bulbosa,11,
22/05/2020,2133,1,Pseudoroegneria spicata,0,
22/05/2020,2133,1,Artemisia tridentata (dead trunk),16,
22/05/2020,2133,1,rock,45,
22/05/2020,2133,1,moss,2,
22/05/2020,2133,1,soil,30,
22/05/2020,2133,1,organic matter,5,
22/05/2020,2133,1,Tragopogon dubius,0,
22/05/2020,2133,1,Bromus japonicus,2,
22/05/2020,2133,1,Oenothera caespitosa,0,
22/05/2020,2133,1,Bromus briziformis,0,
22/05/2020,2133,1,Poa secunda,0,
22/05/2020,2133,2,Alyssum desertorum,10,
22/05/2020,2133,2,Bromus tectorum,20,
22/05/2020,2133,2,Poa bulbosa,13,
22/05/2020,2133,2,Pseudoroegneria spicata,6,
22/05/2020,2133,2,Artemisia tridentata (dead trunk),11,
22/05/2020,2133,2,rock,44,
22/05/2020,2133,2,moss,10,
22/05/2020,2133,2,soil,18,
22/05/2020,2133,2,organic matter,8,
22/05/2020,2133,2,Tragopogon dubius,0,
22/05/2020,2133,2,Bromus japonicus,2,
22/05/2020,2133,2,Oenothera caespitosa,1,
22/05/2020,2133,2,Bromus briziformis,0.5,
22/05/2020,2133,2,Poa secunda,0,
22/05/2020,2133,3,Alyssum desertorum,16,
22/05/2020,2133,3,Bromus tectorum,7,
22/05/2020,2133,3,Poa bulbosa,7,
22/05/2020,2133,3,Pseudoroegneria spicata,5,
22/05/2020,2133,3,Artemisia tridentata (dead trunk),6,
22/05/2020,2133,3,rock,39,
22/05/2020,2133,3,moss,4,
22/05/2020,2133,3,soil,18,
22/05/2020,2133,3,organic matter,8,
22/05/2020,2133,3,Tragopogon dubius,0,
22/05/2020,2133,3,Bromus japonicus,0.5,
22/05/2020,2133,3,Oenothera caespitosa,0,
22/05/2020,2133,3,Bromus briziformis,0,
22/05/2020,2133,3,Poa secunda,0,
22/05/2020,2133,4,Alyssum desertorum,10,
22/05/2020,2133,4,Bromus tectorum,6,
22/05/2020,2133,4,Poa bulbosa,8,
22/05/2020,2133,4,Pseudoroegneria spicata,14,
22/05/2020,2133,4,Artemisia tridentata (dead trunk),0,
22/05/2020,2133,4,rock,29,
22/05/2020,2133,4,moss,9,
22/05/2020,2133,4,soil,24,
22/05/2020,2133,4,organic matter,30,
22/05/2020,2133,4,Tragopogon dubius,0,
22/05/2020,2133,4,Bromus japonicus,3,
22/05/2020,2133,4,Oenothera caespitosa,0,
22/05/2020,2133,4,Bromus briziformis,1,
22/05/2020,2133,4,Poa secunda,6,
27/05/2020,2211,1,Balsamorhiza sagittata,65,overhang-17
27/05/2020,2211,1,Symphoricarpos oreophilus,0,overhang-8
27/05/2020,2211,1,Poa bulbosa,14,
27/05/2020,2211,1,Melica bulbosa,0,
27/05/2020,2211,1,Poa pratensis,0,
27/05/2020,2211,1,Poa secunda,3,
27/05/2020,2211,1,Tragopogon dubius,11,
27/05/2020,2211,1,Agoseris grandiflora,0,
27/05/2020,2211,1,Agoseris parviflora,0,
27/05/2020,2211,1,Achillea millefolium,2,
27/05/2020,2211,1,Taraxacum officinale,0,
27/05/2020,2211,1,Artemisia tridentata,0,
27/05/2020,2211,1,Astragalus cibarius,0,
27/05/2020,2211,1,Crepis acuminata,2,
27/05/2020,2211,1,Wyethia amplexicaulis,0,
27/05/2020,2211,1,poo,0,ungulate
27/05/2020,2211,1,soil,14,
27/05/2020,2211,1,rock,0,
27/05/2020,2211,1,organic matter,23,
27/05/2020,2211,1,Lomatium ambiguum,1,
27/05/2020,2211,1,Elymus lanceolatus,0,
27/05/2020,2211,1,Alyssum desertorum,0,
27/05/2020,2211,2,Balsamorhiza sagittata,41,
27/05/2020,2211,2,Symphoricarpos oreophilus,0,
27/05/2020,2211,2,Poa bulbosa,26,
27/05/2020,2211,2,Melica bulbosa,0,
27/05/2020,2211,2,Poa pratensis,9,
27/05/2020,2211,2,Poa secunda,4,
27/05/2020,2211,2,Tragopogon dubius,5,
27/05/2020,2211,2,Agoseris grandiflora,0,
27/05/2020,2211,2,Agoseris parviflora,0,
27/05/2020,2211,2,Achillea millefolium,4,
27/05/2020,2211,2,Taraxacum officinale,3,
27/05/2020,2211,2,Artemisia tridentata,0,
27/05/2020,2211,2,Astragalus cibarius,0,
27/05/2020,2211,2,Crepis acuminata,3,
27/05/2020,2211,2,Wyethia amplexicaulis,2,overhang-6
27/05/2020,2211,2,poo,5,ungulate
27/05/2020,2211,2,soil,12,
27/05/2020,2211,2,rock,0,
27/05/2020,2211,2,organic matter,7,
27/05/2020,2211,2,Lomatium ambiguum,4,
27/05/2020,2211,2,Elymus lanceolatus,13,
27/05/2020,2211,2,Alyssum desertorum,0,
27/05/2020,2211,3,Balsamorhiza sagittata,0,overhang-7
27/05/2020,2211,3,Symphoricarpos oreophilus,0,
27/05/2020,2211,3,Poa bulbosa,35,
27/05/2020,2211,3,Melica bulbosa,8,
27/05/2020,2211,3,Poa pratensis,1,
27/05/2020,2211,3,Poa secunda,1,
27/05/2020,2211,3,Tragopogon dubius,14,
27/05/2020,2211,3,Agoseris grandiflora,2,
27/05/2020,2211,3,Agoseris parviflora,1,
27/05/2020,2211,3,Achillea millefolium,2,
27/05/2020,2211,3,Taraxacum officinale,2,
27/05/2020,2211,3,Artemisia tridentata,0,
27/05/2020,2211,3,Astragalus cibarius,0,
27/05/2020,2211,3,Crepis acuminata,0,
27/05/2020,2211,3,Wyethia amplexicaulis,0,
27/05/2020,2211,3,poo,12,ungulate
27/05/2020,2211,3,soil,30,
27/05/2020,2211,3,rock,9,
27/05/2020,2211,3,organic matter,12,
27/05/2020,2211,3,Lomatium ambiguum,0,
27/05/2020,2211,3,Elymus lanceolatus,14,
27/05/2020,2211,3,Alyssum desertorum,0.5,
27/05/2020,2211,4,Balsamorhiza sagittata,0,overhang-3
27/05/2020,2211,4,Symphoricarpos oreophilus,0,
27/05/2020,2211,4,Poa bulbosa,48,
27/05/2020,2211,4,Melica bulbosa,0,
27/05/2020,2211,4,Poa pratensis,1,
27/05/2020,2211,4,Poa secunda,6,
27/05/2020,2211,4,Tragopogon dubius,11,
27/05/2020,2211,4,Agoseris grandiflora,4,
27/05/2020,2211,4,Agoseris parviflora,1,
27/05/2020,2211,4,Achillea millefolium,3,
27/05/2020,2211,4,Taraxacum officinale,4,
27/05/2020,2211,4,Artemisia tridentata,8,
27/05/2020,2211,4,Astragalus cibarius,6,
27/05/2020,2211,4,Crepis acuminata,1,
27/05/2020,2211,4,Wyethia amplexicaulis,0,overhang-4
27/05/2020,2211,4,poo,0,ungulate
27/05/2020,2211,4,soil,13,
27/05/2020,2211,4,rock,2,
27/05/2020,2211,4,organic matter,14,
27/05/2020,2211,4,Lomatium ambiguum,0,
27/05/2020,2211,4,Elymus lanceolatus,15,
27/05/2020,2211,4,Alyssum desertorum,0.5,
27/05/2020,2222,1,Poa bulbosa,13,
27/05/2020,2222,1,Berberis repens,3,
27/05/2020,2222,1,Tragopogon dubius,13,
27/05/2020,2222,1,Eriogonum heracleoides,7,
27/05/2020,2222,1,Achillea millefolium,0,
27/05/2020,2222,1,Rosa woodsii,0,
27/05/2020,2222,1,Leymus cinereus,0,
27/05/2020,2222,1,Alyssum desertorum,0.5,
27/05/2020,2222,1,Collomia linearis,0,
27/05/2020,2222,1,Poa pratensis,0,
27/05/2020,2222,1,Lithospermum ruderale,0,
27/05/2020,2222,1,Agoseris parviflora,0,
27/05/2020,2222,1,Comandra umbellata,0,
27/05/2020,2222,1,Eucephalus elegans,24,
27/05/2020,2222,1,soil,24,
27/05/2020,2222,1,rock,8,
27/05/2020,2222,1,organic matter,23,
27/05/2020,2222,1,Pseudoroegneria spicata,10,
27/05/2020,2222,1,Lithophragma parviflorum,5,very dry (burnt sienna)
27/05/2020,2222,1,Viola purpurea,0,
27/05/2020,2222,1,Koeleria macrantha,0,
27/05/2020,2222,1,Bromus carinatus,0,
27/05/2020,2222,1,Poa secunda,0,
27/05/2020,2222,2,Poa bulbosa,0,
27/05/2020,2222,2,Berberis repens,7,
27/05/2020,2222,2,Tragopogon dubius,13,
27/05/2020,2222,2,Eriogonum heracleoides,9,
27/05/2020,2222,2,Achillea millefolium,0,
27/05/2020,2222,2,Rosa woodsii,3,
27/05/2020,2222,2,Leymus cinereus,0,
27/05/2020,2222,2,Alyssum desertorum,1,
27/05/2020,2222,2,Collomia linearis,0,
27/05/2020,2222,2,Poa pratensis,1,
27/05/2020,2222,2,Lithospermum ruderale,0,
27/05/2020,2222,2,Agoseris parviflora,0,
27/05/2020,2222,2,Comandra umbellata,1,
27/05/2020,2222,2,Eucephalus elegans,11,
27/05/2020,2222,2,soil,20,
27/05/2020,2222,2,rock,2,
27/05/2020,2222,2,organic matter,36,
27/05/2020,2222,2,Pseudoroegneria spicata,3,
27/05/2020,2222,2,Lithophragma parviflorum,6,very dry (burnt sienna)
27/05/2020,2222,2,Viola purpurea,2,
27/05/2020,2222,2,Koeleria macrantha,2,
27/05/2020,2222,2,Bromus carinatus,3,
27/05/2020,2222,2,Poa secunda,0,
27/05/2020,2222,3,Poa bulbosa,20,
27/05/2020,2222,3,Berberis repens,5,
27/05/2020,2222,3,Tragopogon dubius,6,
27/05/2020,2222,3,Eriogonum heracleoides,3,
27/05/2020,2222,3,Achillea millefolium,5,
27/05/2020,2222,3,Rosa woodsii,5,
27/05/2020,2222,3,Leymus cinereus,8,
27/05/2020,2222,3,Alyssum desertorum,0,
27/05/2020,2222,3,Collomia linearis,0.5,
27/05/2020,2222,3,Poa pratensis,5,
27/05/2020,2222,3,Lithospermum ruderale,0,
27/05/2020,2222,3,Agoseris parviflora,2,
27/05/2020,2222,3,Comandra umbellata,0,
27/05/2020,2222,3,Eucephalus elegans,4,
27/05/2020,2222,3,soil,9,
27/05/2020,2222,3,rock,0,
27/05/2020,2222,3,organic matter,22,
27/05/2020,2222,3,Pseudoroegneria spicata,9,
27/05/2020,2222,3,Lithophragma parviflorum,0,very dry (burnt sienna)
27/05/2020,2222,3,Viola purpurea,0,
27/05/2020,2222,3,Koeleria macrantha,0,
27/05/2020,2222,3,Bromus carinatus,0,
27/05/2020,2222,3,Poa secunda,0,
27/05/2020,2222,4,Poa bulbosa,8,
27/05/2020,2222,4,Berberis repens,15,
27/05/2020,2222,4,Tragopogon dubius,15,
27/05/2020,2222,4,Eriogonum heracleoides,2,
27/05/2020,2222,4,Achillea millefolium,0,
27/05/2020,2222,4,Rosa woodsii,0,
27/05/2020,2222,4,Leymus cinereus,3,
27/05/2020,2222,4,Alyssum desertorum,0.5,
27/05/2020,2222,4,Collomia linearis,2,
27/05/2020,2222,4,Poa pratensis,0,
27/05/2020,2222,4,Lithospermum ruderale,5,
27/05/2020,2222,4,Agoseris parviflora,4,
27/05/2020,2222,4,Comandra umbellata,0,
27/05/2020,2222,4,Eucephalus elegans,9,
27/05/2020,2222,4,soil,8,
27/05/2020,2222,4,rock,2,
27/05/2020,2222,4,organic matter,27,
27/05/2020,2222,4,Pseudoroegneria spicata,7,
27/05/2020,2222,4,Lithophragma parviflorum,4,very dry (burnt sienna)
27/05/2020,2222,4,Viola purpurea,4,
27/05/2020,2222,4,Koeleria macrantha,0,
27/05/2020,2222,4,Bromus carinatus,2,
27/05/2020,2222,4,Poa secunda,10,
27/05/2020,2233,1,Poa pratensis,6,
27/05/2020,2233,1,Bromus tectorum,15,
27/05/2020,2233,1,Bromus briziformis,1,
27/05/2020,2233,1,Alyssum desertorum,3,
27/05/2020,2233,1,Tragopogon dubius,8,
27/05/2020,2233,1,rock,43,
27/05/2020,2233,1,soil,4,
27/05/2020,2233,1,organic matter,35,
27/05/2020,2233,1,Pseudoroegneria spicata,2,
27/05/2020,2233,1,Artemisia tridentata (dead trunk),7,
27/05/2020,2233,1,moss,4,
27/05/2020,2233,1,Bromus japonicus,0,
27/05/2020,2233,2,Poa pratensis,7,
27/05/2020,2233,2,Bromus tectorum,10,
27/05/2020,2233,2,Bromus briziformis,4,
27/05/2020,2233,2,Alyssum desertorum,4,
27/05/2020,2233,2,Tragopogon dubius,10,
27/05/2020,2233,2,rock,42,
27/05/2020,2233,2,soil,13,
27/05/2020,2233,2,organic matter,20,
27/05/2020,2233,2,Pseudoroegneria spicata,3,
27/05/2020,2233,2,Artemisia tridentata (dead trunk),29,
27/05/2020,2233,2,moss,0,
27/05/2020,2233,2,Bromus japonicus,2,
27/05/2020,2233,3,Poa pratensis,12,
27/05/2020,2233,3,Bromus tectorum,12,
27/05/2020,2233,3,Bromus briziformis,7,
27/05/2020,2233,3,Alyssum desertorum,4,
27/05/2020,2233,3,Tragopogon dubius,10,
27/05/2020,2233,3,rock,53,
27/05/2020,2233,3,soil,8,
27/05/2020,2233,3,organic matter,37,
27/05/2020,2233,3,Pseudoroegneria spicata,3,
27/05/2020,2233,3,Artemisia tridentata (dead trunk),0,
27/05/2020,2233,3,moss,5,
27/05/2020,2233,3,Bromus japonicus,0,
27/05/2020,2233,4,Poa pratensis,3,
27/05/2020,2233,4,Bromus tectorum,17,
27/05/2020,2233,4,Bromus briziformis,6,
27/05/2020,2233,4,Alyssum desertorum,3,
27/05/2020,2233,4,Tragopogon dubius,7,
27/05/2020,2233,4,rock,60,
27/05/2020,2233,4,soil,1,
27/05/2020,2233,4,organic matter,13,
27/05/2020,2233,4,Pseudoroegneria spicata,9,
27/05/2020,2233,4,Artemisia tridentata (dead trunk),6,
27/05/2020,2233,4,moss,3,
27/05/2020,2233,4,Bromus japonicus,0,
28/05/2020,1322,1,Cirsium arvense,13,
28/05/2020,1322,1,Rosa woodsii,8,
28/05/2020,1322,1,Humulus lupulus,0,overhang-4
28/05/2020,1322,1,Mertensia oblongifolia,0,
28/05/2020,1322,1,Verbascum thapsus (dead stalks),0,
28/05/2020,1322,1,Bromus tectorum,0,
28/05/2020,1322,1,Mentha arvensis,1,
28/05/2020,1322,1,Cynoglossum officinale,0,overhang-2
28/05/2020,1322,1,Alyssum desertorum,0,
28/05/2020,1322,1,rock,44,
28/05/2020,1322,1,soil,30,
28/05/2020,1322,1,organic matter,20,
28/05/2020,1322,1,Leymus cinereus,0,
28/05/2020,1322,1,Lactuca serriola,0,
28/05/2020,1322,1,Arctium minus,0,
28/05/2020,1322,1,Prunus virginiana,0,
28/05/2020,1322,1,Isatis tinctoria,0,
28/05/2020,1322,1,Maianthemum stellatum,0,
28/05/2020,1322,2,Cirsium arvense,0,
28/05/2020,1322,2,Rosa woodsii,7,
28/05/2020,1322,2,Humulus lupulus,0,
28/05/2020,1322,2,Mertensia oblongifolia,0,overhang-3
28/05/2020,1322,2,Verbascum thapsus (dead stalks),13,
28/05/2020,1322,2,Bromus tectorum,0,
28/05/2020,1322,2,Mentha arvensis,0,
28/05/2020,1322,2,Cynoglossum officinale,0,
28/05/2020,1322,2,Alyssum desertorum,0,
28/05/2020,1322,2,rock,67,
