,Year,Plot,Quadrant,Species,Cover,Site
109,2023,NW111,4,Prunus spinosa,5,Boothby
110,2023,S111,1,Vicia faba,90,Boothby
111,2023,S111,1,Phleum pratense,3,Boothby
112,2023,S111,2,Vicia faba,90,Boothby
113,2023,S111,3,Vicia faba,70,Boothby
114,2023,S111,4,Vicia faba,60,Boothby
115,2023,S131,1,Pulicaria dysenterica,3,Boothby
116,2023,S131,1,Taraxacum officinale,4,Boothby
117,2023,S131,1,Geranium rotundifolium,4,Boothby
118,2023,S131,1,Atriplex patula,2,Boothby
119,2023,S131,1,Vicia faba,70,Boothby
120,2023,S131,2,Matricaria chamomilla,4,Boothby
121,2023,S131,2,Vicia faba,91,Boothby
122,2023,S131,3,Vicia faba,60,Boothby
123,2023,S131,3,Pulicaria dysenterica,3,Boothby
124,2023,S131,3,Primula veris,1,Boothby
125,2023,S131,3,Matricaria chamomilla,1,Boothby
126,2023,S131,4,Atriplex patula,1,Boothby
127,2023,S131,4,Matricaria discoidea,1,Boothby
128,2023,S131,4,Vicia faba,66,Boothby
129,2023,S131,4,Matricaria chamomilla,2,Boothby
130,2023,S132,1,Triticum aestivum,8,Boothby
131,2023,S132,1,Lolium multiflorum,1,Boothby
132,2023,S132,1,Matricaria discoidea,1,Boothby
133,2023,S132,1,Epilobium parviflorum,3,Boothby
134,2023,S132,2,Triticum aestivum,10,Boothby
135,2023,S132,2,Matricaria discoidea,2,Boothby
136,2023,S132,2,Epilobium parviflorum,8,Boothby
137,2023,S132,3,Sonchus arvensis,4,Boothby
138,2023,S132,3,Matricaria discoidea,5,Boothby
139,2023,S132,3,Epilobium parviflorum,4,Boothby
140,2023,S132,3,Triticum aestivum,18,Boothby
141,2023,S132,4,Triticum aestivum,7,Boothby
142,2023,S132,4,Epilobium parviflorum,4,Boothby
143,2023,S132,4,Epilobium angustifolium,2,Boothby
144,2023,S132,4,Poa trivialis,2,Boothby
145,2023,S133,1,Heracleum mantegazzianum,30,Boothby
146,2023,S133,1,Urtica dioica,45,Boothby
147,2023,S133,1,Elymus repens,15,Boothby
148,2023,S133,1,Rumex crispus,10,Boothby
149,2023,S133,1,Poa trivialis,5,Boothby
150,2023,S133,2,Anthriscus sylvestris,70,Boothby
151,2023,S133,2,Rumex crispus,10,Boothby
152,2023,S133,2,Elymus repens,5,Boothby
153,2023,S133,2,Heracleum mantegazzianum,10,Boothby
154,2023,S133,2,Arrhenatherum elatius,10,Boothby
155,2023,S133,2,Glechoma hederacea,2,Boothby
156,2023,S133,2,Sonchus arvensis,5,Boothby
157,2023,S133,2,Urtica dioica,2,Boothby
158,2023,S133,3,Heracleum mantegazzianum,50,Boothby
159,2023,S133,3,Sonchus arvensis,5,Boothby
160,2023,S133,3,Anthriscus sylvestris,10,Boothby
161,2023,S133,3,Elymus repens,15,Boothby
162,2023,S133,3,Urtica dioica,15,Boothby
163,2023,S133,3,Deschampsia cespitosa,5,Boothby
164,2023,S133,4,Sonchus arvensis,11,Boothby
165,2023,S133,4,Rumex crispus,15,Boothby
166,2023,S133,4,Heracleum mantegazzianum,15,Boothby
167,2023,S133,4,Elymus repens,40,Boothby
168,2023,S133,4,Deschampsia cespitosa,2,Boothby
169,2023,S133,4,Anthriscus sylvestris,15,Boothby
170,2023,S311,1,Epilobium ciliatum,2,Boothby
171,2023,S311,1,Matricaria discoidea,4,Boothby
172,2023,S311,2,Epilobium ciliatum,2,Boothby
173,2023,S311,2,Senecio aureus,1,Boothby
174,2023,S311,3,Senecio aureus,1,Boothby
175,2023,S311,3,Matricaria discoidea,20,Boothby
176,2023,S311,4,Matricaria discoidea,8,Boothby
177,2023,S321,1,Anisantha sterilis,70,Boothby
178,2023,S321,1,Urtica dioica,10,Boothby
179,2023,S321,1,Galium aparine,10,Boothby
180,2023,S321,2,Anisantha sterilis,45,Boothby
181,2023,S321,2,Urtica dioica,35,Boothby
182,2023,S321,2,Galium aparine,10,Boothby
183,2023,S321,3,Anisantha sterilis,9,Boothby
184,2023,S321,3,Galium aparine,10,Boothby
185,2023,S321,4,Urtica dioica,50,Boothby
186,2023,S321,4,Anisantha sterilis,50,Boothby
187,2023,S321,4,Galium aparine,2,Boothby
188,2023,S233,1,Alopecurus pratensis,1,Boothby
189,2023,S233,1,Anisantha sterilis,50,Boothby
190,2023,S233,1,Galium aparine,1,Boothby
191,2023,S233,1,Salix aurita,8,Boothby
192,2023,S233,1,Anthriscus sylvestris,5,Boothby
193,2023,S233,1,Elymus repens,25,Boothby
194,2023,S233,1,Deschampsia cespitosa,1,Boothby
195,2023,S233,2,Salix aurita,40,Boothby
196,2023,S233,2,Cynosurus cristatus,20,Boothby
197,2023,S233,2,Anthriscus sylvestris,5,Boothby
198,2023,S233,2,Hordeum murinum,2,Boothby
199,2023,S233,2,Alopecurus pratensis,2,Boothby
200,2023,S233,2,Deschampsia cespitosa,5,Boothby
201,2023,S233,2,Anisantha sterilis,25,Boothby
202,2023,S233,3,Salix aurita,40,Boothby
203,2023,S233,3,Anisantha sterilis,40,Boothby
204,2023,S233,3,Alopecurus pratensis,1,Boothby
205,2023,S233,3,Deschampsia flexuosa,1,Boothby
206,2023,S233,3,Deschampsia cespitosa,1,Boothby
207,2023,S233,3,Anthriscus sylvestris,2,Boothby
208,2023,S233,3,Rumex acetosa,5,Boothby
209,2023,S233,4,Rumex acetosa,13,Boothby
210,2023,S233,4,Anisantha sterilis,55,Boothby
211,2023,S233,4,Hordeum murinum,4,Boothby
212,2023,S233,4,Anthriscus sylvestris,8,Boothby
213,2023,S233,4,Deschampsia cespitosa,5,Boothby
214,2023,S211,1,Triticum aestivum,10,Boothby
215,2023,S211,1,Bromus hordeaceus,40,Boothby
216,2023,S211,1,Deschampsia cespitosa,5,Boothby
217,2023,S211,1,Taraxacum officinale,2,Boothby
218,2023,S211,2,Triticum aestivum,20,Boothby
219,2023,S211,2,Bromus hordeaceus,25,Boothby
220,2023,S211,2,Arrhenatherum elatius,20,Boothby
221,2023,S211,2,Anthriscus sylvestris,3,Boothby
222,2023,S211,2,Elymus repens,5,Boothby
223,2023,S211,3,Bromus hordeaceus,25,Boothby
224,2023,S211,3,Triticum aestivum,20,Boothby
225,2023,S211,3,Arrhenatherum elatius,5,Boothby
226,2023,S211,4,Triticum aestivum,10,Boothby
227,2023,S211,4,Bromus hordeaceus,30,Boothby
228,2023,S211,4,Arrhenatherum elatius,35,Boothby
229,2023,S211,4,Lotus corniculatus,1,Boothby
230,2023,S213,1,Triticum aestivum,30,Boothby
231,2023,S213,2,Triticum aestivum,15,Boothby
232,2023,S213,3,Triticum aestivum,25,Boothby
233,2023,S213,4,Triticum aestivum,25,Boothby
234,2023,S222,1,Triticum aestivum,100,Boothby
235,2023,S222,2,Triticum aestivum,100,Boothby
236,2023,S222,3,Triticum aestivum,100,Boothby
237,2023,S222,4,Triticum aestivum,100,Boothby
238,2023,S122,1,Vicia faba,100,Boothby
239,2023,S122,2,Vicia faba,80,Boothby
240,2023,S122,2,Brassica napus,10,Boothby
241,2023,S122,3,Vicia faba,80,Boothby
242,2023,S122,3,Brassica napus,15,Boothby
243,2023,S122,3,Matricaria chamomilla,5,Boothby
244,2023,S122,4,Vicia faba,70,Boothby
245,2023,S122,4,Brassica napus,25,Boothby
246,2023,C333,1,Triticum aestivum,6,Boothby
247,2023,C333,1,Lolium multiflorum,7,Boothby
248,2023,C333,1,Pulicaria dysenterica,1,Boothby
249,2023,C333,2,Triticum aestivum,15,Boothby
250,2023,C333,2,Lolium multiflorum,35,Boothby
251,2023,C333,3,Triticum aestivum,10,Boothby
252,2023,C333,3,Helminthotheca echioides,0.2,Boothby
253,2023,C333,4,Triticum aestivum,15,Boothby
254,2023,C333,4,Lolium multiflorum,10,Boothby
255,2023,C322,1,Matricaria chamomilla,15,Boothby
256,2023,C322,1,Vicia faba,15,Boothby
257,2023,C322,1,Capsella bursa-pastoris,8,Boothby
258,2023,C322,1,Taraxacum officinale,2,Boothby
259,2023,C322,1,Epilobium parviflorum,1,Boothby
260,2023,C322,2,Vicia faba,40,Boothby
261,2023,C322,2,Matricaria chamomilla,16,Boothby
262,2023,C322,2,Anthriscus sylvestris,1,Boothby
263,2023,C322,3,Vicia faba,10,Boothby
264,2023,C322,3,Matricaria chamomilla,75,Boothby
265,2023,C322,3,Capsella bursa-pastoris,5,Boothby
266,2023,C322,4,Matricaria chamomilla,20,Boothby
267,2023,C322,4,Capsella bursa-pastoris,12,Boothby
268,2023,C322,4,Epilobium angustifolium,2,Boothby
269,2023,C322,4,Vicia faba,20,Boothby
270,2023,0,1,Triticum aestivum,1,Boothby
271,2023,0,1,Hordeum vulgare,99,Boothby
272,2023,0,2,Hordeum vulgare,80,Boothby
273,2023,0,3,Hordeum vulgare,80,Boothby
274,2023,0,4,Hordeum vulgare,80,Boothby
275,2023,C112,1,Vicia faba,25,Boothby
276,2023,C112,1,Matricaria discoidea,40,Boothby
277,2023,C112,1,Centaurea nigra,6,Boothby
278,2023,C112,2,Matricaria discoidea,40,Boothby
279,2023,C112,3,Matricaria discoidea,25,Boothby
280,2023,C112,3,Bromus hordeaceus,5,Boothby
281,2023,C112,3,Epilobium parviflorum,4,Boothby
282,2023,C112,4,Vicia faba,10,Boothby
283,2023,C112,4,Matricaria discoidea,30,Boothby
284,2023,C112,4,Sonchus arvensis,3,Boothby
285,2023,C111,1,Vicia faba,10,Boothby
286,2023,C111,1,Matricaria discoidea,20,Boothby
287,2023,C111,1,Atriplex patula,4,Boothby
288,2023,C111,2,Vicia faba,15,Boothby
289,2023,C111,2,Triticum aestivum,4,Boothby
290,2023,C111,2,Matricaria discoidea,5,Boothby
291,2023,C111,2,Atriplex patula,7,Boothby
292,2023,C111,3,Veronica chamaedrys,3,Boothby
293,2023,C111,3,Matricaria discoidea,5,Boothby
294,2023,C111,3,Vicia faba,2,Boothby
295,2023,C111,3,Epilobium angustifolium,1,Boothby
296,2023,C111,4,Vicia faba,25,Boothby
297,2023,C111,4,Matricaria discoidea,2,Boothby
298,2023,C111,4,Atriplex patula,8,Boothby
299,2023,C113,1,Triticum aestivum,100,Boothby
300,2023,C113,2,Triticum aestivum,100,Boothby
301,2023,C113,3,Triticum aestivum,100,Boothby
302,2023,C113,4,Triticum aestivum,100,Boothby
303,2023,C133,1,Triticum aestivum,100,Boothby
304,2023,C133,2,Triticum aestivum,100,Boothby
305,2023,C133,3,Triticum aestivum,100,Boothby
306,2023,C133,4,Triticum aestivum,100,Boothby
307,2023,C213,1,Hordeum vulgare,100,Boothby
308,2023,C213,2,Hordeum vulgare,100,Boothby
309,2023,C213,3,Hordeum vulgare,100,Boothby
310,2023,C213,4,Hordeum vulgare,100,Boothby
311,2023,NE111,1,Juncus effusus,35,Boothby
312,2023,NE111,1,Holcus lanatus,50,Boothby
313,2023,NE111,1,Lotus corniculatus,6,Boothby
314,2023,NE111,1,Geranium dissectum,4,Boothby
315,2023,NE111,1,Ranunculus repens,5,Boothby
316,2023,NE111,1,Vicia sativa,2,Boothby
317,2023,NE111,2,Juncus effusus,40,Boothby
318,2023,NE111,2,Holcus lanatus,40,Boothby
319,2023,NE111,2,Phragmites australis,8,Boothby
320,2023,NE111,2,Lotus corniculatus,7,Boothby
321,2023,NE111,2,Cirsium arvense,5,Boothby
322,2023,NE111,3,Juncus effusus,4,Boothby
323,2023,NE111,3,Holcus lanatus,65,Boothby
324,2023,NE111,3,Lotus corniculatus,8,Boothby
325,2023,NE111,3,Geranium dissectum,3,Boothby
326,2023,NE111,4,Holcus lanatus,35,Boothby
327,2023,NE111,4,Juncus effusus,25,Boothby
328,2023,NE111,4,Phragmites australis,4,Boothby
329,2023,NE111,4,Poa pratensis,1,Boothby
330,2023,NE111,4,Cirsium arvense,5,Boothby
331,2023,NE111,4,Lotus corniculatus,10,Boothby
332,2023,NE111,4,Geranium dissectum,5,Boothby
333,2023,NE112,1,Leucanthemum vulgare,60,Boothby
334,2023,NE112,1,Dactylis glomerata,5,Boothby
335,2023,NE112,1,Phleum pratense,2,Boothby
336,2023,NE112,1,Geranium dissectum,10,Boothby
337,2023,NE112,1,Poa trivialis,8,Boothby
338,2023,NE112,1,Vicia sativa,5,Boothby
339,2023,NE112,2,Leucanthemum vulgare,55,Boothby
340,2023,NE112,2,Vicia sativa,15,Boothby
341,2023,NE112,2,Geranium dissectum,10,Boothby
342,2023,NE112,2,Holcus lanatus,4,Boothby
343,2023,NE112,2,Deschampsia cespitosa,2,Boothby
344,2023,NE112,2,Bromus hordeaceus,2,Boothby
345,2023,NE112,2,Cirsium vulgare,5,Boothby
346,2023,NE112,2,Crepis capillaris,2,Boothby
347,2023,NE112,3,Leucanthemum vulgare,40,Boothby
348,2023,NE112,3,Phleum pratense,10,Boothby
349,2023,NE112,3,Dactylis glomerata,8,Boothby
350,2023,NE112,3,Holcus lanatus,7,Boothby
351,2023,NE112,3,Geranium dissectum,10,Boothby
352,2023,NE112,3,Vicia sativa,3,Boothby
353,2023,NE112,3,Cynosurus cristatus,1,Boothby
354,2023,NE112,3,Deschampsia flexuosa,10,Boothby
355,2023,NE112,3,Fraxinus excelsior,3,Boothby
356,2023,NE112,4,Leucanthemum vulgare,8,Boothby
357,2023,NE112,4,Dactylis glomerata,1,Boothby
358,2023,NE112,4,Phleum pratense,8,Boothby
359,2023,NE112,4,Lolium multiflorum,6,Boothby
360,2023,NE112,4,Vicia sativa,10,Boothby
361,2023,NE112,4,Geranium dissectum,6,Boothby
362,2023,NE112,4,Cynosurus cristatus,3,Boothby
363,2023,NE112,4,Crepis capillaris,5,Boothby
364,2023,NE112,4,Anthriscus sylvestris,3,Boothby
365,2023,NE112,4,Lotus corniculatus,3,Boothby
366,2023,NE112,4,Poa pratensis,4,Boothby
367,2023,NE112,4,Cirsium arvense,4,Boothby
368,2023,NE112,4,Deschampsia flexuosa,2,Boothby
369,2023,NE113,1,Matricaria chamomilla,12,Boothby
370,2023,NE113,1,Lolium multiflorum,10,Boothby
371,2023,NE113,1,Geranium dissectum,3,Boothby
372,2023,NE113,1,Poa trivialis,3,Boothby
373,2023,NE113,1,Poa annua,2,Boothby
374,2023,NE113,2,Matricaria chamomilla,30,Boothby
375,2023,NE113,2,Cirsium arvense,4,Boothby
376,2023,NE113,2,Lolium multiflorum,7,Boothby
377,2023,NE113,2,Deschampsia flexuosa,5,Boothby
378,2023,NE113,2,Lotus corniculatus,1,Boothby
379,2023,NE113,3,Cirsium vulgare,15,Boothby
380,2023,NE113,3,Matricaria chamomilla,10,Boothby
381,2023,NE113,3,Stellaria media,4,Boothby
382,2023,NE113,3,Anisantha sterilis,6,Boothby
383,2023,NE113,3,Poa annua,1,Boothby
384,2023,NE113,3,Deschampsia flexuosa,1,Boothby
385,2023,NE113,4,Matricaria chamomilla,20,Boothby
386,2023,NE113,4,Lolium multiflorum,17,Boothby
387,2023,NE113,4,Geranium dissectum,3,Boothby
388,2023,NE113,4,Lotus corniculatus,8,Boothby
389,2023,NE113,4,Prunus padus,3,Boothby
390,2023,NE113,4,Stellaria media,2,Boothby
391,2023,NE113,4,Holcus lanatus,16,Boothby
392,2023,NE113,4,Hordeum murinum,1,Boothby
393,2023,NE113,4,Deschampsia flexuosa,9,Boothby
394,2023,NE113,4,Epilobium angustifolium,6,Boothby
395,2023,NE131,1,Phleum pratense,17,Boothby
396,2023,NE131,1,Cynosurus cristatus,7,Boothby
397,2023,NE131,1,Bromus hordeaceus,7,Boothby
398,2023,NE131,1,Crepis vesicaria,2,Boothby
399,2023,NE131,1,Alopecurus pratensis,1,Boothby
400,2023,NE131,1,Agrostis stolonifera,51,Boothby
401,2023,NE131,2,Bromus hordeaceus,5,Boothby
402,2023,NE131,2,Phleum pratense,15,Boothby
403,2023,NE131,2,Agrostis stolonifera,70,Boothby
404,2023,NE131,2,Lolium multiflorum,2,Boothby
405,2023,NE131,2,Crepis vesicaria,4,Boothby
406,2023,NE131,3,Phleum pratense,40,Boothby
407,2023,NE131,3,Lolium multiflorum,10,Boothby
408,2023,NE131,3,Festuca myuros,5,Boothby
409,2023,NE131,3,Agrostis stolonifera,15,Boothby
410,2023,NE131,3,Plantago major,1,Boothby
411,2023,NE131,4,Phleum pratense,15,Boothby
412,2023,NE131,4,Lolium multiflorum,4,Boothby
413,2023,NE131,4,Agrostis stolonifera,25,Boothby
414,2023,NE131,4,Plantago major,1,Boothby
415,2023,NE133,1,Phleum pratense,12,Boothby
416,2023,NE133,1,Pulicaria dysenterica,2,Boothby
417,2023,NE133,2,Epilobium angustifolium,2,Boothby
418,2023,NE133,2,Pulicaria dysenterica,1,Boothby
419,2023,NE133,2,Matricaria chamomilla,2,Boothby
420,2023,NE133,2,Phleum pratense,12,Boothby
421,2023,NE133,3,Matricaria chamomilla,70,Boothby
422,2023,NE133,3,Phleum pratense,6,Boothby
423,2023,NE133,3,Polygonum aviculare,0.5,Boothby
424,2023,NE133,4,Matricaria chamomilla,20,Boothby
425,2023,NE133,4,Phleum pratense,12,Boothby
426,2023,NE122,1,Brassica napus,100,Boothby
427,2023,NE122,2,Brassica napus,100,Boothby
428,2023,NE122,3,Brassica napus,100,Boothby
429,2023,NE122,4,Brassica napus,100,Boothby
430,2023,NE222,1,Brassica napus,100,Boothby
431,2023,NE222,2,Brassica napus,100,Boothby
432,2023,NE222,3,Brassica napus,100,Boothby
433,2023,NE222,4,Brassica napus,100,Boothby
434,2023,NE233,1,Brassica napus,100,Boothby
435,2023,NE233,2,Brassica napus,100,Boothby
436,2023,NE233,3,Brassica napus,100,Boothby
437,2023,NE233,4,Brassica napus,100,Boothby
438,2023,NE321,1,Rumex crispus,8,Boothby
439,2023,NE321,1,Mercurialis perennis,1,Boothby
440,2023,NE321,2,Rumex crispus,5,Boothby
441,2023,NE321,2,Fagus sylvatica,0.5,Boothby
442,2023,NE321,3,Fagus sylvatica,1,Boothby
443,2023,NE321,4,Rumex crispus,6,Boothby
444,2023,NE321,4,Fagus sylvatica,1,Boothby
445,2023,NE322,1,Myosotis secunda,50,Boothby
446,2023,NE322,1,Bromus hordeaceus,20,Boothby
447,2023,NE322,1,Phleum pratense,5,Boothby
448,2023,NE322,1,Anisantha sterilis,12,Boothby
449,2023,NE322,1,Galium aparine,3,Boothby
450,2023,NE322,2,Myosotis secunda,70,Boothby
451,2023,NE322,2,Bromus hordeaceus,10,Boothby
452,2023,NE322,2,Anisantha sterilis,15,Boothby
453,2023,NE322,2,Galium aparine,5,Boothby
454,2023,NE322,3,Myosotis secunda,50,Boothby
455,2023,NE322,3,Lolium giganteum,10,Boothby
456,2023,NE322,3,Bromus hordeaceus,15,Boothby
457,2023,NE322,3,Cirsium vulgare,10,Boothby
458,2023,NE322,3,Hieracium sp.,4,Boothby
459,2023,NE322,3,Anisantha sterilis,11,Boothby
460,2023,NE322,4,Myosotis secunda,55,Boothby
461,2023,NE322,4,Anisantha sterilis,25,Boothby
462,2023,NE322,4,Galium aparine,4,Boothby
463,2023,NE322,4,Bromus hordeaceus,10,Boothby
464,2023,NE322,4,Hieracium sp.,4,Boothby
465,2023,NE322,4,Lolium giganteum,2,Boothby
466,2023,NE332,1,Deschampsia flexuosa,10,Boothby
467,2023,NE332,1,Phleum pratense,20,Boothby
468,2023,NE332,1,Viola arvensis,15,Boothby
469,2023,NE332,1,Fraxinus excelsior,5,Boothby
470,2023,NE332,2,Fraxinus excelsior,5,Boothby
471,2023,NE332,2,Phleum pratense,50,Boothby
472,2023,NE332,2,Cirsium vulgare,1,Boothby
473,2023,NE332,2,Deschampsia flexuosa,5,Boothby
474,2023,NE332,2,Viola arvensis,7,Boothby
475,2023,NE332,3,Cirsium vulgare,7,Boothby
476,2023,NE332,3,Sonchus asper,4,Boothby
477,2023,NE332,3,Phleum pratense,30,Boothby
478,2023,NE332,3,Fraxinus excelsior,5,Boothby
479,2023,NE332,3,Viola arvensis,4,Boothby
480,2023,NE332,3,Epilobium angustifolium,1,Boothby
481,2023,NE332,3,Galium aparine,4,Boothby
482,2023,NE332,3,Deschampsia flexuosa,3,Boothby
483,2023,NE332,4,Cirsium vulgare,25,Boothby
484,2023,NE332,4,Phleum pratense,20,Boothby
485,2023,NE332,4,Epilobium parviflorum,2,Boothby
486,2023,NE332,4,Fraxinus excelsior,6,Boothby
487,2023,NE332,4,Viola arvensis,10,Boothby
488,2023,NE332,4,Deschampsia flexuosa,5,Boothby
489,2023,NE332,4,Hordeum murinum,1,Boothby
490,2023,NE332,4,Galium aparine,3,Boothby
491,2023,NE331,1,Sonchus asper,45,Boothby
492,2023,NE331,1,Epilobium angustifolium,20,Boothby
493,2023,NE331,1,Matricaria discoidea,15,Boothby
494,2023,NE331,2,Matricaria discoidea,50,Boothby
495,2023,NE331,2,Epilobium angustifolium,25,Boothby
496,2023,NE331,3,Sonchus asper,90,Boothby
497,2023,NE331,3,Matricaria discoidea,10,Boothby
498,2023,NE331,4,Matricaria discoidea,60,Boothby
499,2023,NE331,4,Pulicaria dysenterica,8,Boothby
500,2023,NE331,4,Sonchus asper,15,Boothby
501,2023,NE333,1,Brassica napus,100,Boothby
502,2023,NE333,2,Brassica napus,100,Boothby
503,2023,NE333,3,Brassica napus,100,Boothby
504,2023,NE333,4,Brassica napus,100,Boothby
505,2023,C222,1,Prunus spinosa,15,Boothby
506,2023,C222,1,Glechoma hederacea,5,Boothby
507,2023,C222,1,Galium aparine,5,Boothby
508,2023,C222,1,Rumex crispus,6,Boothby
509,2023,C222,1,Rubus fruticosus,8,Boothby
510,2023,C222,1,Poa nemoralis,3,Boothby
511,2023,C222,1,Dactylis glomerata,4,Boothby
512,2023,C222,1,Hedera helix,15,Boothby
513,2023,C222,1,Brachypodium sylvaticum,20,Boothby
514,2023,C222,2,Rubus fruticosus,40,Boothby
515,2023,C222,2,Fraxinus excelsior,15,Boothby
516,2023,C222,2,Anthriscus sylvestris,5,Boothby
517,2023,C222,2,Brachypodium sylvaticum,15,Boothby
